[2019-10-12 17:43:05,916], ## Epoch 1/500 Loss:217.411, MAE:247.90, MSE:361.78, Best MAE:561.90
[2019-10-12 17:43:56,324], ## Epoch 2/500 Loss:199.959, MAE:250.49, MSE:340.40, Best MAE:247.90
[2019-10-12 17:44:46,237], ## Epoch 3/500 Loss:178.229, MAE:246.23, MSE:341.27, Best MAE:247.90
[2019-10-12 17:45:36,881], ## Epoch 4/500 Loss:174.676, MAE:327.57, MSE:433.47, Best MAE:246.23
[2019-10-12 17:46:27,374], ## Epoch 5/500 Loss:161.847, MAE:223.98, MSE:325.35, Best MAE:246.23
[2019-10-12 17:47:18,160], ## Epoch 6/500 Loss:171.631, MAE:299.50, MSE:400.77, Best MAE:223.98
[2019-10-12 17:48:08,672], ## Epoch 7/500 Loss:179.285, MAE:223.38, MSE:332.35, Best MAE:223.98
[2019-10-12 17:48:59,479], ## Epoch 8/500 Loss:156.663, MAE:223.34, MSE:316.96, Best MAE:223.38
[2019-10-12 17:49:50,054], ## Epoch 9/500 Loss:162.937, MAE:244.38, MSE:340.45, Best MAE:223.34
[2019-10-12 17:50:40,252], ## Epoch 10/500 Loss:152.292, MAE:234.91, MSE:339.90, Best MAE:223.34
[2019-10-12 17:51:30,745], ## Epoch 11/500 Loss:159.457, MAE:208.30, MSE:303.43, Best MAE:223.34
[2019-10-12 17:52:20,827], ## Epoch 12/500 Loss:148.581, MAE:232.54, MSE:321.42, Best MAE:208.30
[2019-10-12 17:53:10,933], ## Epoch 13/500 Loss:153.358, MAE:207.91, MSE:300.71, Best MAE:208.30
[2019-10-12 17:54:00,851], ## Epoch 14/500 Loss:161.436, MAE:245.46, MSE:354.90, Best MAE:207.91
[2019-10-12 17:54:50,405], ## Epoch 15/500 Loss:156.715, MAE:240.51, MSE:335.93, Best MAE:207.91
[2019-10-12 17:55:39,991], ## Epoch 16/500 Loss:151.141, MAE:206.33, MSE:297.53, Best MAE:207.91
[2019-10-12 17:56:30,158], ## Epoch 17/500 Loss:144.737, MAE:201.97, MSE:302.65, Best MAE:206.33
[2019-10-12 17:57:20,643], ## Epoch 18/500 Loss:145.647, MAE:196.90, MSE:294.46, Best MAE:201.97
[2019-10-12 17:58:11,135], ## Epoch 19/500 Loss:166.434, MAE:209.97, MSE:310.07, Best MAE:196.90
[2019-10-12 17:59:00,453], ## Epoch 20/500 Loss:144.916, MAE:287.45, MSE:406.38, Best MAE:196.90
[2019-10-12 17:59:50,229], ## Epoch 21/500 Loss:151.015, MAE:244.15, MSE:338.28, Best MAE:196.90
[2019-10-12 18:00:40,121], ## Epoch 22/500 Loss:140.226, MAE:203.41, MSE:287.14, Best MAE:196.90
[2019-10-12 18:01:30,470], ## Epoch 23/500 Loss:138.452, MAE:221.88, MSE:318.92, Best MAE:196.90
[2019-10-12 18:02:20,645], ## Epoch 24/500 Loss:131.737, MAE:335.38, MSE:464.34, Best MAE:196.90
[2019-10-12 18:03:10,624], ## Epoch 25/500 Loss:147.016, MAE:212.36, MSE:327.51, Best MAE:196.90
[2019-10-12 18:03:59,859], ## Epoch 26/500 Loss:152.814, MAE:242.55, MSE:363.70, Best MAE:196.90
[2019-10-12 18:04:49,745], ## Epoch 27/500 Loss:132.998, MAE:192.38, MSE:278.33, Best MAE:196.90
[2019-10-12 18:05:39,523], ## Epoch 28/500 Loss:131.578, MAE:198.17, MSE:306.66, Best MAE:192.38
[2019-10-12 18:06:29,172], ## Epoch 29/500 Loss:134.016, MAE:178.71, MSE:262.64, Best MAE:192.38
[2019-10-12 18:07:18,989], ## Epoch 30/500 Loss:136.938, MAE:194.93, MSE:285.24, Best MAE:178.71
[2019-10-12 18:08:09,387], ## Epoch 31/500 Loss:135.070, MAE:234.55, MSE:386.83, Best MAE:178.71
[2019-10-12 18:08:59,522], ## Epoch 32/500 Loss:134.841, MAE:190.59, MSE:285.19, Best MAE:178.71
[2019-10-12 18:09:49,498], ## Epoch 33/500 Loss:140.800, MAE:204.89, MSE:295.57, Best MAE:178.71
[2019-10-12 18:10:38,943], ## Epoch 34/500 Loss:131.327, MAE:182.15, MSE:271.09, Best MAE:178.71
[2019-10-12 18:11:28,851], ## Epoch 35/500 Loss:123.615, MAE:177.47, MSE:282.62, Best MAE:178.71
[2019-10-12 18:12:19,377], ## Epoch 36/500 Loss:128.248, MAE:219.68, MSE:304.08, Best MAE:177.47
[2019-10-12 18:13:09,572], ## Epoch 37/500 Loss:130.388, MAE:181.30, MSE:265.88, Best MAE:177.47
[2019-10-12 18:13:59,275], ## Epoch 38/500 Loss:120.791, MAE:239.28, MSE:334.56, Best MAE:177.47
[2019-10-12 18:14:48,597], ## Epoch 39/500 Loss:115.104, MAE:187.29, MSE:270.04, Best MAE:177.47
[2019-10-12 18:15:38,570], ## Epoch 40/500 Loss:125.402, MAE:174.75, MSE:257.15, Best MAE:177.47
[2019-10-12 18:16:28,971], ## Epoch 41/500 Loss:130.232, MAE:255.58, MSE:354.42, Best MAE:174.75
[2019-10-12 18:17:18,881], ## Epoch 42/500 Loss:119.142, MAE:173.57, MSE:256.64, Best MAE:174.75
[2019-10-12 18:18:09,350], ## Epoch 43/500 Loss:117.249, MAE:165.94, MSE:252.52, Best MAE:173.57
[2019-10-12 18:18:59,338], ## Epoch 44/500 Loss:121.702, MAE:171.00, MSE:256.01, Best MAE:165.94
[2019-10-12 18:19:48,984], ## Epoch 45/500 Loss:114.597, MAE:225.08, MSE:301.32, Best MAE:165.94
[2019-10-12 18:20:38,961], ## Epoch 46/500 Loss:112.120, MAE:178.71, MSE:259.76, Best MAE:165.94
[2019-10-12 18:21:29,072], ## Epoch 47/500 Loss:108.304, MAE:155.93, MSE:237.85, Best MAE:165.94
[2019-10-12 18:22:19,700], ## Epoch 48/500 Loss:111.896, MAE:190.01, MSE:286.13, Best MAE:155.93
[2019-10-12 18:23:09,541], ## Epoch 49/500 Loss:134.462, MAE:168.27, MSE:246.25, Best MAE:155.93
[2019-10-12 18:23:59,584], ## Epoch 50/500 Loss:125.147, MAE:160.45, MSE:239.38, Best MAE:155.93
[2019-10-12 18:24:49,682], ## Epoch 51/500 Loss:101.410, MAE:156.46, MSE:238.70, Best MAE:155.93
[2019-10-12 18:25:39,471], ## Epoch 52/500 Loss:116.028, MAE:173.77, MSE:249.96, Best MAE:155.93
[2019-10-12 18:26:29,287], ## Epoch 53/500 Loss:105.269, MAE:191.24, MSE:289.21, Best MAE:155.93
[2019-10-12 18:27:19,228], ## Epoch 54/500 Loss:106.140, MAE:148.69, MSE:228.09, Best MAE:155.93
[2019-10-12 18:28:09,860], ## Epoch 55/500 Loss:110.188, MAE:175.52, MSE:246.29, Best MAE:148.69
[2019-10-12 18:29:00,109], ## Epoch 56/500 Loss:119.970, MAE:197.72, MSE:285.19, Best MAE:148.69
[2019-10-12 18:29:49,809], ## Epoch 57/500 Loss:107.977, MAE:144.97, MSE:222.13, Best MAE:148.69
[2019-10-12 18:30:39,837], ## Epoch 58/500 Loss:115.968, MAE:160.56, MSE:233.54, Best MAE:144.97
[2019-10-12 18:31:30,424], ## Epoch 59/500 Loss:110.204, MAE:150.31, MSE:227.11, Best MAE:144.97
[2019-10-12 18:32:19,730], ## Epoch 60/500 Loss:106.639, MAE:144.82, MSE:229.06, Best MAE:144.97
[2019-10-12 18:33:10,941], ## Epoch 61/500 Loss:114.236, MAE:153.19, MSE:223.48, Best MAE:144.82
[2019-10-12 18:34:00,415], ## Epoch 62/500 Loss:97.007, MAE:146.35, MSE:223.55, Best MAE:144.82
[2019-10-12 18:34:50,031], ## Epoch 63/500 Loss:112.000, MAE:137.39, MSE:216.74, Best MAE:144.82
[2019-10-12 18:35:39,439], ## Epoch 64/500 Loss:115.291, MAE:179.04, MSE:267.91, Best MAE:137.39
[2019-10-12 18:36:29,267], ## Epoch 65/500 Loss:105.461, MAE:179.59, MSE:245.35, Best MAE:137.39
[2019-10-12 18:37:18,341], ## Epoch 66/500 Loss:106.529, MAE:157.14, MSE:252.47, Best MAE:137.39
[2019-10-12 18:38:07,606], ## Epoch 67/500 Loss:106.880, MAE:135.91, MSE:212.85, Best MAE:137.39
[2019-10-12 18:38:58,113], ## Epoch 68/500 Loss:102.816, MAE:159.40, MSE:236.03, Best MAE:135.91
[2019-10-12 18:39:47,510], ## Epoch 69/500 Loss:111.630, MAE:140.20, MSE:212.12, Best MAE:135.91
[2019-10-12 18:40:37,316], ## Epoch 70/500 Loss:106.408, MAE:154.62, MSE:225.20, Best MAE:135.91
[2019-10-12 18:41:26,628], ## Epoch 71/500 Loss:107.951, MAE:181.18, MSE:271.95, Best MAE:135.91
[2019-10-12 18:42:16,669], ## Epoch 72/500 Loss:113.061, MAE:203.80, MSE:288.05, Best MAE:135.91
[2019-10-12 18:43:06,759], ## Epoch 73/500 Loss:101.861, MAE:142.49, MSE:217.61, Best MAE:135.91
[2019-10-12 18:43:56,341], ## Epoch 74/500 Loss:96.874, MAE:145.70, MSE:217.64, Best MAE:135.91
[2019-10-12 18:44:46,245], ## Epoch 75/500 Loss:109.763, MAE:214.24, MSE:302.97, Best MAE:135.91
[2019-10-12 18:45:35,838], ## Epoch 76/500 Loss:100.609, MAE:136.65, MSE:214.84, Best MAE:135.91
[2019-10-12 18:46:25,351], ## Epoch 77/500 Loss:98.474, MAE:138.69, MSE:215.49, Best MAE:135.91
[2019-10-12 18:47:15,094], ## Epoch 78/500 Loss:103.623, MAE:345.24, MSE:470.69, Best MAE:135.91
[2019-10-12 18:48:04,707], ## Epoch 79/500 Loss:105.368, MAE:170.70, MSE:248.58, Best MAE:135.91
[2019-10-12 18:48:54,734], ## Epoch 80/500 Loss:104.202, MAE:137.67, MSE:214.98, Best MAE:135.91
[2019-10-12 18:49:44,490], ## Epoch 81/500 Loss:109.651, MAE:158.72, MSE:222.33, Best MAE:135.91
[2019-10-12 18:50:33,583], ## Epoch 82/500 Loss:102.236, MAE:181.16, MSE:250.97, Best MAE:135.91
[2019-10-12 18:51:23,364], ## Epoch 83/500 Loss:109.198, MAE:140.36, MSE:213.05, Best MAE:135.91
[2019-10-12 18:52:13,231], ## Epoch 84/500 Loss:111.599, MAE:226.36, MSE:295.65, Best MAE:135.91
[2019-10-12 18:53:02,904], ## Epoch 85/500 Loss:106.894, MAE:127.14, MSE:199.00, Best MAE:135.91
[2019-10-12 18:53:52,274], ## Epoch 86/500 Loss:91.321, MAE:141.10, MSE:228.29, Best MAE:127.14
[2019-10-12 18:54:42,403], ## Epoch 87/500 Loss:106.377, MAE:125.94, MSE:198.45, Best MAE:127.14
[2019-10-12 18:55:33,126], ## Epoch 88/500 Loss:100.025, MAE:178.95, MSE:252.82, Best MAE:125.94
[2019-10-12 18:56:22,811], ## Epoch 89/500 Loss:96.448, MAE:138.99, MSE:202.24, Best MAE:125.94
[2019-10-12 18:57:12,407], ## Epoch 90/500 Loss:88.641, MAE:164.47, MSE:247.05, Best MAE:125.94
[2019-10-12 18:58:02,136], ## Epoch 91/500 Loss:105.035, MAE:129.40, MSE:196.64, Best MAE:125.94
[2019-10-12 18:58:52,101], ## Epoch 92/500 Loss:102.360, MAE:288.06, MSE:399.96, Best MAE:125.94
[2019-10-12 18:59:42,164], ## Epoch 93/500 Loss:107.809, MAE:138.83, MSE:231.18, Best MAE:125.94
[2019-10-12 19:00:32,255], ## Epoch 94/500 Loss:96.954, MAE:133.58, MSE:205.22, Best MAE:125.94
[2019-10-12 19:01:21,598], ## Epoch 95/500 Loss:100.714, MAE:146.23, MSE:213.02, Best MAE:125.94
