[2019-10-13 11:26:41,176], ## Epoch 1/500 Loss:211.631, MAE:248.37, MSE:372.86, Best MAE:258.13
[2019-10-13 11:27:30,454], ## Epoch 2/500 Loss:194.818, MAE:223.66, MSE:335.34, Best MAE:248.37
[2019-10-13 11:28:19,811], ## Epoch 3/500 Loss:172.813, MAE:231.00, MSE:326.79, Best MAE:223.66
[2019-10-13 11:29:08,475], ## Epoch 4/500 Loss:173.096, MAE:213.16, MSE:313.87, Best MAE:223.66
[2019-10-13 11:29:57,648], ## Epoch 5/500 Loss:172.710, MAE:254.82, MSE:344.87, Best MAE:213.16
[2019-10-13 11:30:46,324], ## Epoch 6/500 Loss:151.630, MAE:232.05, MSE:330.63, Best MAE:213.16
[2019-10-13 11:31:35,793], ## Epoch 7/500 Loss:157.336, MAE:291.94, MSE:408.49, Best MAE:213.16
[2019-10-13 11:32:25,391], ## Epoch 8/500 Loss:164.614, MAE:205.60, MSE:298.31, Best MAE:213.16
[2019-10-13 11:33:14,915], ## Epoch 9/500 Loss:176.531, MAE:204.06, MSE:302.97, Best MAE:205.60
[2019-10-13 11:34:04,004], ## Epoch 10/500 Loss:155.353, MAE:223.15, MSE:316.85, Best MAE:204.06
[2019-10-13 11:34:52,804], ## Epoch 11/500 Loss:158.669, MAE:206.60, MSE:308.34, Best MAE:204.06
[2019-10-13 11:35:41,884], ## Epoch 12/500 Loss:151.845, MAE:194.93, MSE:291.62, Best MAE:204.06
[2019-10-13 11:36:31,750], ## Epoch 13/500 Loss:159.861, MAE:255.51, MSE:375.04, Best MAE:194.93
[2019-10-13 11:37:21,385], ## Epoch 14/500 Loss:138.723, MAE:197.08, MSE:278.78, Best MAE:194.93
[2019-10-13 11:38:10,900], ## Epoch 15/500 Loss:158.533, MAE:207.82, MSE:330.96, Best MAE:194.93
[2019-10-13 11:39:00,511], ## Epoch 16/500 Loss:143.748, MAE:184.37, MSE:271.30, Best MAE:194.93
[2019-10-13 11:39:49,426], ## Epoch 17/500 Loss:152.122, MAE:216.12, MSE:313.70, Best MAE:184.37
[2019-10-13 11:40:38,873], ## Epoch 18/500 Loss:139.019, MAE:203.45, MSE:295.87, Best MAE:184.37
[2019-10-13 11:41:27,558], ## Epoch 19/500 Loss:141.805, MAE:172.70, MSE:272.38, Best MAE:184.37
[2019-10-13 11:42:16,464], ## Epoch 20/500 Loss:129.327, MAE:169.45, MSE:263.73, Best MAE:172.70
[2019-10-13 11:43:05,941], ## Epoch 21/500 Loss:149.101, MAE:185.27, MSE:267.13, Best MAE:169.45
[2019-10-13 11:43:54,962], ## Epoch 22/500 Loss:134.982, MAE:166.41, MSE:236.19, Best MAE:169.45
[2019-10-13 11:44:44,505], ## Epoch 23/500 Loss:125.496, MAE:160.65, MSE:249.10, Best MAE:166.41
[2019-10-13 11:45:34,027], ## Epoch 24/500 Loss:135.333, MAE:165.63, MSE:255.28, Best MAE:160.65
[2019-10-13 11:46:23,377], ## Epoch 25/500 Loss:134.165, MAE:216.41, MSE:286.92, Best MAE:160.65
[2019-10-13 11:47:12,775], ## Epoch 26/500 Loss:122.147, MAE:179.30, MSE:287.05, Best MAE:160.65
[2019-10-13 11:48:02,235], ## Epoch 27/500 Loss:121.874, MAE:203.90, MSE:328.38, Best MAE:160.65
[2019-10-13 11:48:51,505], ## Epoch 28/500 Loss:133.193, MAE:204.22, MSE:313.77, Best MAE:160.65
[2019-10-13 11:49:40,358], ## Epoch 29/500 Loss:114.083, MAE:155.07, MSE:252.83, Best MAE:160.65
[2019-10-13 11:50:30,426], ## Epoch 30/500 Loss:115.713, MAE:191.02, MSE:301.88, Best MAE:155.07
[2019-10-13 11:51:19,840], ## Epoch 31/500 Loss:118.251, MAE:173.52, MSE:267.31, Best MAE:155.07
[2019-10-13 11:52:08,958], ## Epoch 32/500 Loss:120.589, MAE:248.34, MSE:321.86, Best MAE:155.07
[2019-10-13 11:52:58,797], ## Epoch 33/500 Loss:123.604, MAE:195.45, MSE:267.03, Best MAE:155.07
[2019-10-13 11:53:48,074], ## Epoch 34/500 Loss:113.841, MAE:154.42, MSE:236.58, Best MAE:155.07
